latitude,longitude,datetime
84.76349,136.61800,2019-10-12 06:02:16
84.76588,136.60921,2019-10-12 07:01:42
84.76756,136.59390,2019-10-12 08:01:21
84.76855,136.57001,2019-10-12 09:01:40
84.76939,136.53705,2019-10-12 10:01:44
84.77035,136.49442,2019-10-12 11:02:12
84.77157,136.44580,2019-10-12 12:02:12
84.77305,136.39644,2019-10-12 13:01:54
84.77472,136.35013,2019-10-12 14:01:46
84.77631,136.31161,2019-10-12 15:02:12
84.77755,136.28180,2019-10-12 16:01:24
84.77829,136.25777,2019-10-12 17:02:09
84.77831,136.23628,2019-10-12 18:01:54
84.77771,136.21349,2019-10-12 19:01:47
84.77668,136.18558,2019-10-12 20:01:44
84.77597,136.16267,2019-10-12 20:42:08
84.77561,136.14799,2019-10-12 21:03:07
84.77480,136.10339,2019-10-12 22:01:54
84.77426,136.05409,2019-10-12 23:01:54
84.77406,136.00443,2019-10-13 00:01:24
84.77425,135.95531,2019-10-13 01:01:44
84.77448,135.91220,2019-10-13 02:01:18
84.77441,135.87625,2019-10-13 03:00:54
84.77384,135.84605,2019-10-13 04:01:46
84.77279,135.82011,2019-10-13 05:01:22
84.77128,135.79443,2019-10-13 06:01:54
84.76955,135.76788,2019-10-13 07:01:09
84.76761,135.73825,2019-10-13 08:01:47
84.76563,135.70607,2019-10-13 09:01:54
84.76369,135.67247,2019-10-13 10:01:46
84.76197,135.64088,2019-10-13 11:01:17
84.76034,135.61533,2019-10-13 12:01:54
84.75873,135.59953,2019-10-13 13:01:54
84.75701,135.59244,2019-10-13 14:01:24
84.75506,135.59514,2019-10-13 15:01:12
84.75227,135.60635,2019-10-13 16:00:54
84.75008,135.61748,2019-10-13 16:42:07
84.74850,135.62373,2019-10-13 17:03:11
84.74371,135.63797,2019-10-13 18:01:48
84.73840,135.64365,2019-10-13 19:01:24
84.73333,135.63539,2019-10-13 20:01:54
84.72845,135.61571,2019-10-13 21:01:47
84.72364,135.58611,2019-10-13 22:01:39
84.71941,135.54889,2019-10-13 23:01:39
84.71599,135.51151,2019-10-14 00:01:13
84.71293,135.47737,2019-10-14 01:01:24
84.71002,135.45023,2019-10-14 02:01:54
84.70721,135.42834,2019-10-14 03:01:09
84.70444,135.41055,2019-10-14 04:00:54
84.70174,135.39529,2019-10-14 05:01:42
84.69899,135.38283,2019-10-14 06:01:16
84.69605,135.37044,2019-10-14 07:00:54
84.69278,135.35666,2019-10-14 08:01:21
84.68935,135.33852,2019-10-14 09:01:12
84.68620,135.31490,2019-10-14 10:01:54
84.68367,135.28844,2019-10-14 11:00:54
84.68172,135.26004,2019-10-14 12:01:24
84.68045,135.23444,2019-10-14 13:01:08
84.67958,135.21492,2019-10-14 14:01:44
84.67903,135.20338,2019-10-14 15:00:54
84.67857,135.20064,2019-10-14 16:01:44
84.67808,135.20547,2019-10-14 17:01:54
84.67739,135.21536,2019-10-14 18:01:21
84.67652,135.22577,2019-10-14 19:01:18
84.67548,135.23459,2019-10-14 20:01:54
84.67455,135.23761,2019-10-14 21:01:12
84.67391,135.23351,2019-10-14 22:00:54
84.67366,135.22229,2019-10-14 23:01:49
84.67395,135.20773,2019-10-15 00:01:24
84.67472,135.19333,2019-10-15 01:01:20
84.67585,135.18198,2019-10-15 02:01:54
84.67708,135.17549,2019-10-15 03:01:46
84.67828,135.17526,2019-10-15 04:01:36
84.67920,135.17931,2019-10-15 05:01:54
84.67971,135.18307,2019-10-15 06:01:24
84.67979,135.18575,2019-10-15 07:01:16
84.67957,135.18275,2019-10-15 08:01:54
84.67928,135.17235,2019-10-15 09:01:43
84.67905,135.15483,2019-10-15 10:01:42
84.67906,135.13120,2019-10-15 11:01:54
84.67944,135.10466,2019-10-15 12:01:24
84.68021,135.07809,2019-10-15 13:01:24
84.68126,135.05507,2019-10-15 14:01:54
84.68224,135.03824,2019-10-15 15:01:15
84.68307,135.02673,2019-10-15 16:01:12
84.68362,135.01891,2019-10-15 17:01:24
84.68381,135.00656,2019-10-15 18:01:54
84.68378,134.98700,2019-10-15 19:01:21
84.68343,134.96025,2019-10-15 20:01:54
84.68293,134.92320,2019-10-15 21:01:24
84.68231,134.87056,2019-10-15 22:01:13
84.68184,134.80643,2019-10-15 23:01:36
84.68190,134.74431,2019-10-16 00:01:09
84.68246,134.68518,2019-10-16 01:01:54
84.68334,134.63461,2019-10-16 02:01:24
84.68428,134.59370,2019-10-16 03:01:54
84.68484,134.56299,2019-10-16 04:01:42
84.68491,134.53796,2019-10-16 05:01:08
84.68431,134.51491,2019-10-16 06:01:42
84.68339,134.48950,2019-10-16 07:01:46
84.68199,134.46085,2019-10-16 08:01:22
84.68062,134.42520,2019-10-16 09:01:39
84.67953,134.38271,2019-10-16 10:01:21
84.67886,134.33545,2019-10-16 11:01:24
84.67878,134.28665,2019-10-16 12:01:54
84.67913,134.23964,2019-10-16 13:01:12
84.67993,134.19630,2019-10-16 14:01:47
84.68082,134.16075,2019-10-16 15:00:54
84.68154,134.13156,2019-10-16 16:01:45
84.68196,134.10907,2019-10-16 17:01:24
84.68169,134.08992,2019-10-16 18:01:54
84.68095,134.07262,2019-10-16 19:01:46
84.67981,134.05255,2019-10-16 20:01:16
84.67844,134.02747,2019-10-16 21:01:22
84.67775,134.00597,2019-10-16 21:42:06
84.67738,133.99329,2019-10-16 22:02:54
84.67636,133.95288,2019-10-16 23:01:48
84.67564,133.90540,2019-10-17 00:01:22
84.67526,133.86063,2019-10-17 01:01:21
84.67503,133.82211,2019-10-17 02:01:54
84.67501,133.78833,2019-10-17 03:01:17
84.67515,133.76213,2019-10-17 04:00:54
84.67528,133.74779,2019-10-17 05:01:18
84.67516,133.74434,2019-10-17 06:01:46
84.67465,133.74425,2019-10-17 07:01:16
84.67359,133.74228,2019-10-17 08:01:48
84.67236,133.73627,2019-10-17 09:01:23
84.67119,133.72610,2019-10-17 10:01:08
84.67017,133.71233,2019-10-17 11:01:42
84.66958,133.69917,2019-10-17 12:01:17
84.66942,133.68864,2019-10-17 13:01:15
84.66962,133.68398,2019-10-17 14:01:45
84.67019,133.68645,2019-10-17 15:01:50
84.67081,133.69682,2019-10-17 16:01:21
84.67160,133.71657,2019-10-17 17:01:12
