datetime,longitude,latitude,data_gap_minutes,day_count,x,y,u,v,speed,speed_flag,bearing
2020-08-23 00:00:00,105.46982,87.74068,10.0,13.0,-243192.95596387662,-67305.44422444284,,,,False,
2020-08-23 01:00:00,105.51144,87.74037,50.0,14.0,-243177.35770042718,-67491.34116318754,0.047681968817416626,-0.0027939634054868316,0.047763755943354066,False,93.35345790450447
2020-08-23 02:00:00,105.54777,87.7405,50.0,15.0,-243120.52809112772,-67641.62982033062,0.047945781390254336,0.01380611121365099,0.049893954142418484,False,73.93610862898385
2020-08-23 03:00:00,105.58983,87.74126,10.0,16.0,-242989.0605830812,-67797.27422261692,0.053434633185016234,0.030400716644338757,0.061477342135998474,False,60.36303151277349
2020-08-23 04:00:00,105.63516,87.74246,10.0,17.0,-242806.30007924826,-67953.3799596609,0.05984739173267312,0.042190436298287,0.07322392513546269,False,54.81742635251294
2020-08-23 05:00:00,105.68776,87.74398,10.0,18.0,-242580.39723351257,-68130.36135062108,0.06978220704119013,0.049171570447748086,0.08536626827873747,False,54.82981450453775
2020-08-23 06:00:00,105.74942,87.74563,10.0,19.0,-242329.597791421,-68341.36672790206,0.07886568022669854,0.05583934310588983,0.09663243635610744,False,54.700324749181505
2020-08-23 07:00:00,105.81699,87.74758,10.0,20.0,-242039.32019310555,-68567.74976750188,0.08363540951030364,0.06452225512771002,0.10563144953431952,False,52.35087163367973
2020-08-23 08:00:00,105.88658,87.74979,10.0,21.0,-241718.49494663702,-68794.11853120441,0.08353861237961863,0.0716538247070256,0.11005894036132331,False,49.379218976306674
2020-08-23 09:00:00,105.95412,87.7522,10.0,22.0,-241378.47256035302,-69005.03318750384,0.08245899031800352,0.07506781296557763,0.11151081394958762,False,47.686354976253256
2020-08-23 10:00:00,106.02208,87.75463,10.0,23.0,-241035.6350093563,-69216.39233436645,0.07877640307338352,0.07490809202593054,0.1087057677041355,False,46.44185728094078
2020-08-23 11:00:00,106.0837,87.75703,10.0,24.0,-240703.5357970844,-69401.32946433581,0.06910054728323496,0.0728905114743084,0.10043859964091931,False,43.47104875432166
2020-08-23 12:00:00,106.13586,87.75933,10.0,24.0,-240393.53081647985,-69549.04768004711,0.058151174536883954,0.07056548313881553,0.09143875825181354,False,39.491045155534835
2020-08-23 13:00:00,106.17955,87.76158,10.0,24.0,-240099.11939989126,-69662.32270163388,0.0471411836659794,0.0711862647685467,0.08538018206309492,False,33.51344302060011
2020-08-23 14:00:00,106.21364,87.76392,10.0,24.0,-239806.7119715538,-69732.20227211625,0.03633317853422292,0.07522022468639639,0.08353551379067273,False,25.781660506649246
2020-08-23 15:00:00,106.23956,87.76643,10.0,24.0,-239506.03057186192,-69762.29569938139,0.027191752925746878,0.07940888528622964,0.08393546622004576,False,18.902592729692742
2020-08-23 16:00:00,106.2586,87.76904,10.0,24.0,-239203.0292605989,-69760.28087524741,0.021099549687940054,0.08235685432570868,0.0850167186585077,False,14.369909944275491
2020-08-23 17:00:00,106.27449,87.77174,10.0,24.0,-238894.24273732412,-69742.12150310914,0.018051050005375525,0.08421836859169919,0.08613114427745559,False,12.097525868232083
2020-08-23 18:00:00,106.28852,87.77447,10.0,24.0,-238584.53222278118,-69715.11129339573,0.01574507299519193,0.0868551214796083,0.08827071683668054,False,10.274979872454992
2020-08-23 19:00:00,106.30062,87.77734,10.0,24.0,-238262.19089798155,-69675.53915772896,0.012200165485486563,0.09197328186494026,0.09277892333327115,False,7.5561163804839
2020-08-23 20:00:00,106.30879,87.7804,10.0,24.0,-237924.28883645224,-69613.55495334591,0.007334447879567493,0.09864274841032869,0.09891504405115278,False,4.252325282613356
2020-08-23 21:00:00,106.31282,87.7837,10.0,24.0,-237565.71186705344,-69526.78043163715,0.004572359570845248,0.10670821281819513,0.10680612882647851,False,2.4535763543535154
2020-08-23 22:00:00,106.31641,87.78728,10.0,24.0,-237177.67263531883,-69429.34964290388,-0.0020141059753787,0.1150838468838118,0.11510147017504466,False,358.99735718647787
2020-08-23 23:00:00,106.30944,87.79112,10.0,24.0,-236774.55438561825,-69280.07367754428,-0.020841194396097287,0.1233078152045677,0.12505667784800512,False,350.4066683684648
2020-08-24 00:00:00,106.28152,87.79523,10.0,24.0,-236367.7225687387,-69036.01060201586,-0.0420011539042355,0.11028103478384282,0.11800848936530976,False,339.1503825853587
2020-08-24 01:00:00,106.23907,87.79823,10.0,24.0,-236097.1569591745,-68767.18309338807,-0.04904389388476633,0.06622635404913127,0.0824089406437257,False,323.478220163041
2020-08-24 02:00:00,106.19928,87.7995,10.0,24.0,-236008.66423147733,-68563.63929151901,-0.04710326138296005,0.017991326722014006,0.050422267602019955,False,290.9046074274346
2020-08-24 03:00:00,106.16003,87.79939,10.0,24.0,-236067.37633395914,-68405.3662983145,-0.04602623976301483,-0.024351140502050915,0.05207103600345544,False,242.11798921238668
2020-08-24 04:00:00,106.12205,87.79793,10.0,24.0,-236269.2974288363,-68294.14172438235,-0.04833420527164767,-0.06901713909102387,0.08425889203847574,False,215.00439167139177
2020-08-24 05:00:00,106.07899,87.79494,10.0,24.0,-236641.39281957812,-68209.0341546184,-0.05281302223066014,-0.10220945114311306,0.11504776060450989,False,207.32601763776427
2020-08-24 06:00:00,106.0336,87.79134,10.0,24.0,-237081.73329228413,-68132.5819977349,-0.05337010483296756,-0.1239250787982912,0.13492884511862033,False,203.2998182903196
2020-08-24 07:00:00,105.98975,87.78695,10.0,24.0,-237605.07866921675,-68086.16062195416,-0.0602505516566164,-0.13880703750419388,0.1513192738405035,False,203.46372552884026
2020-08-24 08:00:00,105.93307,87.78239,10.0,24.0,-238161.9757322217,-67990.86451685087,-0.07412267299213103,-0.13508474399525408,0.15408458297883576,False,208.7541222517178
2020-08-24 09:00:00,105.8663,87.77824,10.0,24.0,-238686.82775359435,-67839.97524045082,-0.07825196845580473,-0.12826915123322194,0.15025427023981522,False,211.38572576869976
2020-08-24 10:00:00,105.80297,87.77412,10.0,24.0,-239204.36270432573,-67701.40439388515,-0.0772428991387597,-0.11430678644827921,0.13795835203239099,False,214.04889129900917
2020-08-24 11:00:00,105.7381,87.77087,10.0,24.0,-239630.1861648778,-67528.97674315043,-0.07967104523405333,-0.09088625225800509,0.12086267537247512,False,221.2378609369958
2020-08-24 12:00:00,105.67094,87.76826,10.0,24.0,-239989.8041474343,-67326.77206593439,-0.08684803032958062,-0.075060589831422,0.11478968820398776,False,229.16396083775535
2020-08-24 13:00:00,105.59436,87.76603,10.0,24.0,-240319.43647859604,-67072.89264085039,-0.0893612247611022,-0.06685168174025705,0.11160007097804572,False,233.1996116899358
2020-08-24 14:00:00,105.52318,87.76395,10.0,24.0,-240626.3801866224,-66836.44956186521,-0.08480977280665095,-0.057543207884561645,0.1024886254038058,False,235.84321093244452
2020-08-24 15:00:00,105.45425,87.76232,10.0,24.0,-240882.056352122,-66595.41802947079,-0.08206038015379905,-0.04296398471347371,0.09262726366165427,False,242.3649966019428
2020-08-24 16:00:00,105.38771,87.76118,10.0,24.0,-241081.97525909494,-66349.40697752358,-0.07132303834279974,-0.02715180856190996,0.0763164235707563,False,249.15878270884954
2020-08-24 17:00:00,105.33656,87.76057,15.0,24.0,-241206.80514509746,-66152.17479109627,-0.05496973031790345,-0.008846187030746609,0.05567698156514937,False,260.8578687402286
2020-08-24 18:00:00,105.29703,87.76061,30.0,24.0,-241248.0794328889,-65984.5651191702,-0.04290763316658329,0.010543597035941616,0.04418407430754202,False,283.80563104036526
2020-08-24 19:00:00,105.26578,87.76125,10.0,24.0,-241215.08495596523,-65834.15722316966,-0.03427399946282188,0.025434377074436937,0.0426803769470486,False,306.5787241510192
