datetime,longitude,latitude,data_gap_minutes,day_count,x,y,u,v,speed,speed_flag,bearing
2020-02-18 17:00:00,76.3448,88.14176,30.0,13.0,-201677.94073326353,48996.74973423853,,,,False,
2020-02-18 18:00:00,76.22234,88.1471,60.0,14.0,-200993.55557328498,49285.663539784444,-0.12458228518941925,0.17884361118143227,0.21795821398477536,False,325.1389684003326
2020-02-18 19:00:00,76.09639,88.15329,60.0,15.0,-200213.69365656402,49561.2674853753,-0.12719953941567488,0.19032075740286553,0.22891420560105094,False,326.2434913169512
2020-02-18 20:00:00,75.96793,88.15937,60.0,16.0,-199443.32867847578,49845.39687253855,-0.12743277533535138,0.18333688809188278,0.22327455467402837,False,325.1978256446936
2020-02-18 21:00:00,75.8407,88.16511,60.0,17.0,-198710.59193490472,50131.34499048887,-0.12862612258372857,0.1772941883199684,0.2190386007601418,False,324.03928650335473
2020-02-18 22:00:00,75.709,88.1708,60.0,18.0,-197979.04862596004,50431.1090124322,-0.13218634759908726,0.17760358564793294,0.2213961700811226,False,323.34052050985315
2020-02-18 23:00:00,75.57377,88.17656,60.0,19.0,-197236.48313300993,50737.98027836676,-0.14010196523466364,0.1762199573652076,0.22512670662631407,False,321.5138862651131
2020-02-19 00:00:00,75.42518,88.18216,60.0,20.0,-196498.96144015077,51091.94073598269,-0.15099360219826313,0.17109777558874512,0.22819622414979596,False,318.57163201115617
2020-02-19 01:00:00,75.26696,88.18759,60.0,21.0,-195770.64617723477,51480.148133809766,-0.1592258347238692,0.17264750213461677,0.2348617176911457,False,317.31590178949693
2020-02-19 02:00:00,75.10064,88.19329,60.0,22.0,-195005.21562194653,51884.543537569254,-0.1731598816142247,0.1860081122874543,0.25413256862786104,False,317.0487227160785
2020-02-19 03:00:00,74.91283,88.19958,60.0,23.0,-194155.84789387003,52340.6294019364,-0.19243195712040442,0.20973972588880213,0.2846415478054794,False,317.46424751608896
2020-02-19 04:00:00,74.70569,88.20681,60.0,24.0,-193186.51014236172,52829.2282506558,-0.20422275553910474,0.22972784253048154,0.3073789444865973,False,318.36364242248635
2020-02-19 05:00:00,74.49211,88.21439,60.0,24.0,-192172.52846062573,53322.65859801229,-0.2102141312897552,0.2396576932172949,0.3187880030869127,False,318.744598228315
2020-02-19 06:00:00,74.27079,88.22226,60.0,24.0,-191119.11792910073,53826.30920897024,-0.2192861743073179,0.24152978211371864,0.32622547707105864,False,317.76352495811386
2020-02-19 07:00:00,74.03647,88.22996,60.0,24.0,-190070.61856659036,54370.96500634253,-0.22070833180638338,0.23776685498242806,0.32441523555004564,False,317.13082576111856
2020-02-19 08:00:00,73.81028,88.23759,60.0,24.0,-189036.17056386938,54883.30673849916,-0.2249351413628236,0.24681673221347517,0.33393759464973655,False,317.6556860248211
2020-02-19 09:00:00,73.56489,88.24587,60.0,24.0,-187912.45422142957,55430.789925280034,-0.22096988978534504,0.23571685192605252,0.32309460916839217,False,316.8495067169199
2020-02-19 10:00:00,73.34529,88.25279,60.0,24.0,-186958.21822198876,55929.107016405134,-0.20852654921007666,0.21638128208177632,0.30050654062901155,False,316.0590338818597
2020-02-19 11:00:00,73.12405,88.25982,60.0,24.0,-185989.5621426177,56422.684473229216,-0.2040861443616958,0.21201875898843933,0.2942840608721799,False,316.09215317068845
2020-02-19 12:00:00,72.9122,88.26646,60.0,24.0,-185070.8490975254,56892.0934814206,-0.19561538600865622,0.20209683957179744,0.2812623540544031,False,315.93365765369765
2020-02-19 13:00:00,72.70732,88.27285,60.0,24.0,-184184.85049271074,57341.37980511483,-0.19130910477744342,0.19605856046227016,0.2739308903743506,False,315.7024595891667
2020-02-19 14:00:00,72.5031,88.2791,60.0,24.0,-183313.59074573865,57787.64911024008,-0.18920302903563,0.19574575678562103,0.272239210063196,False,315.9737258813734
2020-02-19 15:00:00,72.30123,88.28547,60.0,24.0,-182431.1182996659,58216.881304178125,-0.19006596435409834,0.19591438787888527,0.2729606531788266,False,315.8680865289408
2020-02-19 16:00:00,72.09364,88.29173,60.0,24.0,-181553.73924587952,58662.516209342786,-0.19058314152667805,0.1955896656490425,0.27308835775785467,False,315.7427675573814
2020-02-19 17:00:00,71.88916,88.29808,60.0,24.0,-180669.1884595304,59089.62865461076,-0.19045269939190573,0.19684317108706129,0.2738968139816046,False,315.94530786869694
2020-02-19 18:00:00,71.6803,88.30442,60.0,24.0,-179780.41977905348,59525.27174778027,-0.18964460473567007,0.19248523950530344,0.2702140698275398,False,315.4259112132474
2020-02-19 19:00:00,71.4761,88.31049,60.0,24.0,-178924.35141523284,59950.25322408651,-0.18406219232341664,0.17929891259500894,0.25695717678371055,False,314.24895595598963
2020-02-19 20:00:00,71.278,88.31598,60.0,24.0,-178135.31877788476,60371.72428270213,-0.18001828131725675,0.17062049898842768,0.24802809575424925,False,313.4647323145084
2020-02-19 21:00:00,71.08127,88.32149,60.0,24.0,-177344.85759123275,60783.493331667225,-0.1768366263333223,0.16922007597673733,0.2447583022627094,False,313.73914956396254
2020-02-19 22:00:00,70.8889,88.32689,60.0,24.0,-176569.93897959747,61181.1349363564,-0.17307933671894704,0.16348376433477918,0.23808275452065036,False,313.366912752429
2020-02-19 23:00:00,70.69922,88.33203,60.0,24.0,-175824.65117811257,61575.60431747386,-0.16606085831902387,0.15540523355477115,0.2274356948279313,False,313.10151399527126
2020-02-20 00:00:00,70.52124,88.33691,60.0,24.0,-175118.717452559,61939.74123403127,-0.16092625352543294,0.14658292527446,0.21767823284782023,False,312.3294554382001
2020-02-20 01:00:00,70.34185,88.34148,60.0,24.0,-174443.29283536467,62316.02716810101,-0.1604605354605236,0.13990918334551297,0.21289002565805265,False,311.08591218811205
2020-02-20 02:00:00,70.16391,88.34593,60.0,24.0,-173781.42605721773,62688.84246560543,-0.15921811556985965,0.13618810982232257,0.20951756390000859,False,310.54221121230466
2020-02-20 03:00:00,69.98633,88.35026,60.0,24.0,-173131.91901134935,63061.64823435996,-0.15913390197903476,0.1427050530420521,0.2137482887014723,False,311.8845114565984
2020-02-20 04:00:00,69.80757,88.35513,60.0,24.0,-172423.86668752017,63413.76703601585,-0.1572778857950979,0.15215939583538837,0.21883513223695655,False,314.0523406629916
2020-02-20 05:00:00,69.63317,88.36007,60.0,24.0,-171712.8296807804,63746.29533083365,-0.15370051447521052,0.1496801367356132,0.21454135145266578,False,314.2407650494613
2020-02-20 06:00:00,69.46143,88.36478,60.0,24.0,-171028.398893006,64076.15718763311,-0.15424918387265146,0.14860468188823325,0.21418721298079874,False,313.93226159889946
2020-02-20 07:00:00,69.28473,88.36965,60.0,24.0,-170321.24781739933,64410.91564814962,-0.14880937708186556,0.145319527106725,0.2079951818336546,False,314.32021542406477
2020-02-20 08:00:00,69.12439,88.37415,60.0,24.0,-169670.75207427845,64708.214915159,-0.14100468429387386,0.13851550534790175,0.1976584584949494,False,314.4897839816092
2020-02-20 09:00:00,68.96441,88.37858,60.0,24.0,-169027.6347766986,65004.12330613614,-0.14347402537588097,0.1379041833890317,0.19900341643739344,False,313.86598621994347
2020-02-20 10:00:00,68.79754,88.38304,60.0,24.0,-168373.21410323965,65315.98258733903,-0.1265729344155338,0.14653275023335124,0.1936299424611512,False,319.18000657766015
2020-02-20 11:00:00,68.67537,88.38803,60.0,24.0,-167714.4221324075,65472.190162734216,-0.11733889781586011,0.1605677114075963,0.19887284099975538,False,323.8415924478377
2020-02-20 12:00:00,68.52857,88.39339,60.0,24.0,-166989.0505942325,65682.56746614803,-0.12492320265010108,0.1606906029988706,0.20353691668220503,False,322.13798800642917
2020-02-20 13:00:00,68.38823,88.39839,60.0,24.0,-166308.51231796332,65885.7208205422,-0.10462070922574665,0.16593573669678277,0.19616360904103045,False,327.7690067111515
