datetime,x,y,sigma_x_regrid,longitude,latitude,u,v,speed,speed_flag,bearing
2020-07-25 09:00:00,1400.01648,1087667.09913,2.2737367544323206e-13,-0.07374957955099026,80.24936583042195,-0.06837381154811621,-0.22235369726486334,0.23262877034660137,False,197.0926746362352
2020-07-25 10:00:00,1744.32858,1088530.08782,2.2737367544323206e-13,-0.0918142560222775,80.24160467352462,-0.12041769614129459,-0.2427812638040606,0.2710039918493342,False,206.381068535258
2020-07-25 11:00:00,2269.82392,1089413.73264,0.0,-0.11937718313048364,80.23365357718868,-0.15953377545922898,-0.23555316890733644,0.2844930946342351,False,214.1087203892709
2020-07-25 12:00:00,2896.50289,1090223.67373,4.547473508864641e-13,-0.1522228919358478,80.22636026374322,-0.18500581592717513,-0.22301664434198754,0.28976469001664157,False,219.67776250998637
2020-07-25 13:00:00,3606.12715,1091015.90786,9.094947017729282e-13,-0.1893786444134277,80.21922041178459,-0.18741558544246267,-0.1995360944204568,0.2737503509464609,False,223.20590770815411
2020-07-25 14:00:00,4250.63629,1091655.86565,1.8189894035458565e-12,-0.2230943803122628,80.2134474088701,-0.1584776468835763,-0.156021545018745,0.2223912927067779,False,225.44744601495074
2020-07-25 15:00:00,4751.53159,1092134.81158,9.094947017729282e-13,-0.24927416080270165,80.2091239177625,-0.11459485953963372,-0.1195015434697095,0.16556751107796253,False,223.799250572496
2020-07-25 16:00:00,5079.45481,1092512.67898,2.328377489728103e-10,-0.26638521589805114,80.2057142458921,-0.06528395143088282,-0.1101000245919308,0.12800003800614138,False,210.66587594861062
2020-07-25 17:00:00,5225.25654,1092925.33782,2.3283064365386963e-10,-0.2739280124562669,80.20199893351516,-0.011008103719353506,-0.1272930892959778,0.1277681843418377,False,184.9425512949972
2020-07-25 18:00:00,5163.09402,1093428.79982,2.328324200039328e-10,-0.27054463722911437,80.1974762680302,0.029059472015069383,-0.17062235075122753,0.17307928671470055,False,170.3344384041747
2020-07-25 19:00:00,5021.83141,1094154.793,9.094947017729282e-13,-0.2629680249254876,80.19095662694293,0.03543717992946626,-0.21710627464738375,0.21997938133520284,False,170.72964552783515
2020-07-25 20:00:00,4915.12338,1094993.11957,0.0,-0.25718329097827664,80.18342567822783,0.020964457900966415,-0.26611776706020457,0.26694226799102216,False,175.4956059199979
2020-07-25 21:00:00,4879.48936,1096071.49916,2.328324200039328e-10,-0.2550675752712963,80.17373401932953,0.007536502205726225,-0.32492366071396145,0.3250110523616981,False,178.67128064550548
2020-07-25 22:00:00,4871.27576,1097332.78831,2.328324200039328e-10,-0.25434554722689035,80.16239706365003,-0.0038973450277522627,-0.36330295139835556,0.3633238552490343,False,180.6146188884121
2020-07-25 23:00:00,4919.16182,1098687.13007,9.094947017729282e-13,-0.25652919744463576,80.1502213283555,-0.005517489570636838,-0.3825985769317725,0.3826383589780036,False,180.82621047962823
2020-07-26 00:00:00,4923.33485,1100087.29259,0.0,-0.2564200374213133,80.1376353481625,-0.0010853168813360022,-0.3896042741404304,0.3896057858158995,False,180.15960788936889
2020-07-26 01:00:00,4939.53008,1101492.21778,2.3283064365386963e-10,-0.2569353870084706,80.12500594376988,-0.0065118559926897294,-0.3693530193877016,0.3694104183686234,False,181.01004512058137
