datetime,x,y,sigma_x_regrid,longitude,latitude,u,v,speed,speed_flag,bearing
2020-03-26 15:00:00,-101299.11237,439360.08606,0.0,12.98326543826979,85.96229331613769,,,,False,
2020-03-26 16:00:00,-101484.82435,439985.45678,0.0,12.988400000203901,85.95645999975575,0.012143022716559149,-0.18032199183921868,0.18073038964589802,False,176.1474742185618
2020-03-26 17:00:00,-101676.10725,440605.53752,0.0,12.994358293647267,85.95066159720541,0.013465056108268064,-0.17923275102111813,0.179737827889949,False,175.7036626209927
2020-03-26 18:00:00,-101869.4602,441221.08701,2.9103830456733704e-11,13.000683737540564,85.94489852306845,0.014258323275724467,-0.1823152725864103,0.18287197270465522,False,175.52817348012894
2020-03-26 19:00:00,-102071.43749,441861.46566,1.4551915228366852e-11,13.007346858419362,85.93890125826763,0.014117556830538301,-0.18951856764724437,0.1900436604939155,False,175.7398093470904
2020-03-26 20:00:00,-102275.62226,442527.73025,0.0,13.013526306547309,85.93267351411302,0.015594175684853738,-0.1968721967624717,0.19748883556639715,False,175.47107791630043
2020-03-26 21:00:00,-102500.02154,443217.25735,6.507814330688532e-11,13.021507342095967,85.92620185273813,0.02054597863641243,-0.20727302441704706,0.2082888472509215,False,174.33903760906344
2020-03-26 22:00:00,-102756.00441,443948.38932,5.820766091346741e-11,13.032152621302721,85.91930315086213,0.023646034820245895,-0.21910436878009465,0.2203766307511847,False,173.8404031021184
2020-03-26 23:00:00,-103021.62233,444715.78555,5.999908354159067e-11,13.042912904833981,85.91206829470781,0.024693872765055885,-0.22666130388747274,0.22800248689895036,False,173.78236851399595
2020-03-27 00:00:00,-103297.51569,445498.12313,5.999908354159067e-11,13.05446648975484,85.90468208019504,0.027450000275153742,-0.23149728181915682,0.23311905543040462,False,173.2376762960506
2020-03-27 01:00:00,-103590.64219,446294.84697,1.4551915228366852e-11,13.067671085809943,85.89713522175047,0.02857277243409287,-0.23166178737880241,0.23341719528799054,False,172.96874605373415
2020-03-27 02:00:00,-103875.04187,447076.37934,1.4551915228366852e-11,13.080195298535191,85.88973839473522,0.029293508291383018,-0.2253919681413557,0.22728759079776273,False,172.59494962510394
2020-03-27 03:00:00,-104163.35155,447827.83105,1.1641532182693481e-10,13.093998250078956,85.88259591238344,0.031233086440934144,-0.22043532683429154,0.22263701175942827,False,171.93554389287158
2020-03-27 04:00:00,-104453.63734,448571.30173,5.820766091346741e-11,13.108218005084181,85.87551880071685,0.033744123218177574,-0.21617554304731712,0.21879335287792911,False,171.1279580297106
2020-03-27 05:00:00,-104752.97061,449288.63826,5.820766091346741e-11,13.12422025521635,85.86865104382639,0.04010872004868693,-0.20741841829384364,0.21126076226186402,False,169.0557307404191
2020-03-27 06:00:00,-105073.9759,449960.13462,5.999908354159067e-11,13.144078565603296,85.86213874368278,0.04809245451096112,-0.20712318893709936,0.21263325134221653,False,166.9279823415107
2020-03-27 07:00:00,-105429.28403,450662.11446,5.999908354159067e-11,13.16714999971899,85.8552899997959,0.05528717031741894,-0.2192536112361503,0.22611682211149223,False,165.84729275738596
2020-03-27 08:00:00,-105821.17758,451406.58114,0.0,13.193349133173035,85.84799515493876,0.0589140513119253,-0.24078097518961264,0.24788372971061456,False,166.25105039157188
2020-03-27 09:00:00,-106237.94751,452253.165,0.0,13.219563073088606,85.83975779233575,0.05526466498265046,-0.2669415262414845,0.2726022040038887,False,168.30334808784784
2020-03-27 10:00:00,-106648.06347,453186.63502,4.3655745685100555e-11,13.242426345595348,85.83077544966986,0.04544745310790307,-0.28691422649947557,0.2904913843159336,False,170.99908363293105
2020-03-27 11:00:00,-107029.68054,454189.06011,0.0,13.259842678963416,85.82124967150841,0.034460390574844124,-0.30237295057023383,0.3043302807068661,False,173.49825203136277
2020-03-27 12:00:00,-107388.91633,455248.76939,1.4551915228366852e-11,13.272899999751312,85.8112699997793,0.026010562614208865,-0.3122029522926299,0.31328458753622374,False,175.23751564624922
2020-03-27 13:00:00,-107728.03914,456333.87894,5.999908354159067e-11,13.28279000005046,85.80110999974949,0.02098110668290018,-0.3141970489762923,0.31489679646361896,False,176.1796369333715
2020-03-27 14:00:00,-108055.70055,457415.76104,1.1999816708318134e-10,13.291362975894025,85.79100159103054,0.020490207617597705,-0.3140461067153014,0.31471384740943753,False,176.26697890228024
2020-03-27 15:00:00,-108391.45794,458500.52571,1.173212913024843e-10,13.300772404289324,85.78085123168951,0.02753084610174704,-0.3139696378866497,0.3151743660289523,False,174.98876061864127
2020-03-27 16:00:00,-108768.6813,459570.10054,0.0,13.315456509950707,85.77074761260089,0.035257103571384785,-0.31686157566624035,0.3188170658636954,False,173.6508307634757
2020-03-27 17:00:00,-109163.91991,460662.13255,1.1641532182693481e-10,13.331565577885224,85.76041067732086,0.030360118942799885,-0.32842883269204215,0.3298290996344597,False,174.71856023887597
2020-03-27 18:00:00,-109526.64701,461820.66008,5.999908354159067e-11,13.341924536525744,85.74956091170223,0.027609465994718543,-0.33534804380224464,0.33648267874365495,False,175.29340895030776
2020-03-27 19:00:00,-109914.51849,462965.59892,1.173212913024843e-10,13.355554459216105,85.738777392293,0.021954800841467448,-0.3341806040532121,0.33490101433910024,False,176.24121717816985
2020-03-27 20:00:00,-110236.2394,464125.17415,1.4551915228366852e-11,13.360979247640087,85.72800300878615,0.007800031656527678,-0.33665035213671873,0.33674070156074026,False,178.67272098206155
2020-03-27 21:00:00,-110529.2824,465310.89759,0.0,13.362309999930213,85.71705999974668,-0.0025075127613881226,-0.34279152184973183,0.3428006929285641,False,180.41910994492963
