datetime,latitude,longitude,check_dates,check_dups,check_speed,x,y,flag_date,flag_duplicate,flag,flag_position_pass_one,flag_position_pass_two
2019-10-06 03:30:26,84.96677,131.60617,False,False,False,-420211.99191547494,-373162.59341669176,False,False,0,0,0
2019-10-06 04:00:27,84.9667,131.6113,False,False,False,-420184.41857447673,-373205.4024667818,False,False,0,0,0
2019-10-06 04:30:27,84.96659,131.61633,False,False,False,-420160.82903146534,-373250.44037998386,False,False,0,0,0
2019-10-06 05:00:28,84.96633,131.62053,False,False,False,-420155.1540598559,-373300.5071557579,False,False,0,0,0
2019-10-06 05:30:55,84.96604,131.62404,False,False,False,-420156.4723401577,-373347.73873937124,False,False,0,0,0
2019-10-06 06:00:25,84.96567,131.62698,False,False,False,-420168.1732658251,-373396.7214583899,False,False,0,0,0
2019-10-06 06:30:26,84.96523,131.6297,False,False,False,-420187.14212387224,-373449.28155225643,False,False,0,0,0
2019-10-06 07:00:26,84.96474,131.63145,False,False,False,-420216.5999809179,-373498.4365185257,False,False,0,0,0
2019-10-06 07:30:28,84.96426,131.63254,False,False,False,-420249.52419722,-373542.0114477443,False,False,0,0,0
2019-10-06 08:00:54,84.96379,131.63387,False,False,False,-420280.0480884346,-373586.6069444944,False,False,0,0,0
2019-10-06 08:30:27,84.96339,131.63504,False,False,False,-420305.77605748276,-373624.8412099299,False,False,0,0,0
2019-10-06 09:00:27,84.96301,131.63651,False,False,False,-420327.8783307371,-373663.79487614863,False,False,0,0,0
2019-10-06 09:30:29,84.96269,131.63834,False,False,False,-420342.6275590165,-373700.94294946175,False,False,0,0,0
2019-10-06 10:00:27,84.96245,131.6409,False,False,False,-420345.94228891825,-373737.51695065846,False,False,0,0,0
2019-10-06 10:30:54,84.96221,131.64377,False,False,False,-420347.23226904316,-373776.36629515386,False,False,0,0,0
2019-10-06 11:00:29,84.96203,131.6469,False,False,False,-420341.82048590516,-373812.67533784517,False,False,0,0,0
2019-10-06 11:30:26,84.96194,131.6505,False,False,False,-420325.83579363115,-373845.7591931487,False,False,0,0,0
2019-10-06 12:00:27,84.96191,131.65416,False,False,False,-420304.45504190004,-373874.8331846729,False,False,0,0,0
2019-10-06 12:30:28,84.96184,131.65939,False,False,False,-420276.1609617105,-373918.38891035813,False,False,0,0,0
2019-10-06 13:00:28,84.96186,131.66479,False,False,False,-420239.25104720553,-373956.5138760552,False,False,0,0,0
2019-10-06 13:30:54,84.96198,131.67143,False,False,False,-420185.90906715015,-373996.3108629273,False,False,0,0,0
2019-10-06 14:00:26,84.9621,131.67859,False,False,False,-420129.1688453015,-374039.91349505703,False,False,0,0,0
2019-10-06 14:30:26,84.96217,131.68643,False,False,False,-420072.15082003316,-374092.2035255386,False,False,0,0,0
2019-10-06 15:00:26,84.96223,131.69565,False,False,False,-420006.94789129426,-374155.3433227039,False,False,0,0,0
2019-10-06 15:30:28,84.96218,131.70532,False,False,False,-419947.9595146365,-374229.9355875945,False,False,0,0,0
2019-10-06 16:00:54,84.96211,131.71609,False,False,False,-419883.43745620013,-374314.06477965636,False,False,0,0,0
2019-10-06 16:30:26,84.962,131.72734,False,False,False,-419819.09294150874,-374404.6705664233,False,False,0,0,0
