datetime,x,y,sigma_x_regrid,longitude,latitude,u,v,speed,speed_flag,bearing
2020-08-19 13:00:00,59398.68399,79638.91891,0.0,-36.71741497188119,89.11050017057184,,,,False,
2020-08-19 14:00:00,59431.75142,79516.7101,7.275957614183426e-12,-36.77488329238071,89.11119980063184,-0.028513613432734737,0.02016453832022,0.03492326955854866,False,305.2675629737439
2020-08-19 15:00:00,59476.20837,79399.72059,7.275957614183426e-12,-36.835900001408625,89.11179999995903,-0.02971438741543574,0.012413605779578715,0.03220314313736155,False,292.6734232441095
2020-08-19 16:00:00,59549.39809,79316.91135,2.0579515874459978e-11,-36.89841848950553,89.11200000591843,-0.03277009772248983,0.0015553336413603198,0.03280698656502118,False,272.71733183383697
2020-08-19 17:00:00,59658.17014,79249.10445,1.4551915228366852e-11,-36.97217733137016,89.11190005574493,-0.040421502183921695,-0.006197852236266477,0.04089390188215573,False,261.2826973572686
2020-08-19 18:00:00,59808.75226,79177.52689,7.275957614183426e-12,-37.066500000978685,89.11159999992569,-0.05243559693749962,-0.012399739638909738,0.05388177214332013,False,256.6953538035178
2020-08-19 19:00:00,60013.23176,79092.78591,7.275957614183426e-12,-37.19013532718944,89.11109985359799,-0.06066451882896509,-0.015507930040468399,0.06261533150027972,False,255.66033109190036
2020-08-19 20:00:00,60224.20214,79002.45709,0.0,-37.31856216626198,89.11060013169457,-0.06597061570705731,-0.013949132277345441,0.06742922532596024,False,258.06096891602033
2020-08-19 21:00:00,60451.86676,78884.6987,7.275957614183426e-12,-37.46410000021967,89.11019999993799,-0.07020887908043161,-0.007757728828152177,0.07063617386510831,False,263.6946817001532
2020-08-19 22:00:00,60659.4131,78739.3117,0.0,-37.610038483532804,89.11010002044927,-0.06522887354420852,0.0015380312169899768,0.06524700363902378,False,271.35072655696524
2020-08-19 23:00:00,60817.15553,78589.30763,0.0,-37.73486994373809,89.11029992229281,-0.052286550102598625,0.0077410666427738875,0.05285647958764775,False,278.4215122429065
2020-08-20 00:00:00,60923.02874,78464.83443,0.0,-37.82710000280069,89.11059999995712,-0.039240338833948465,0.00930260371465071,0.040327938549781055,False,283.33675153467607
2020-08-20 01:00:00,60999.23967,78363.13299,1.626953582672133e-11,-37.897816996911736,89.11090008030784,-0.029920235005681854,0.009301606065341089,0.03133273588740728,False,287.2694303979581
2020-08-20 02:00:00,61051.88514,78279.66033,1.626953582672133e-11,-37.95138660573472,89.11119990712034,-0.0241570528626188,0.009304854072114798,0.025887130244789794,False,291.0657704924406
2020-08-20 03:00:00,61095.1884,78203.33912,2.9103830456733704e-11,-37.99820000044384,89.1114999999141,-0.022959993150146355,0.004655011707145875,0.02342712998744047,False,281.4610511246559
2020-08-20 04:00:00,61161.5222,78151.47654,7.275957614183426e-12,-38.04681387148493,89.11149996436501,-0.024223736776611982,-0.0031006537645277953,0.024421373368221214,False,262.7057677204801
2020-08-20 05:00:00,61246.29712,78113.42966,7.275957614183426e-12,-38.09888465740054,89.11130007237098,-0.026971804696983234,-0.00775384797308255,0.028064219337118272,False,253.96112776777926
2020-08-20 06:00:00,61348.79179,78075.58645,1.626953582672133e-11,-38.15889999937315,89.11099999998835,-0.031446588834496386,-0.010859250251938356,0.033268773126764024,False,250.94899687885237
2020-08-20 07:00:00,61472.63481,78035.01827,2.0579515874459978e-11,-38.22952088279613,89.1105998542241,-0.035831580536374516,-0.015507712543957795,0.03904345415150559,False,246.59730232826712
2020-08-20 08:00:00,61620.54464,78003.65013,1.4551915228366852e-11,-38.30767771627746,89.11000015892839,-0.03982847470624951,-0.018609660835660465,0.043961652310220006,False,244.95589617906694
2020-08-20 09:00:00,61780.71541,77962.39788,7.275957614183426e-12,-38.39480000157944,89.10939999992159,-0.047337945461660834,-0.024818076924122495,0.05344920974853452,False,242.33312409469576
2020-08-20 10:00:00,61998.65289,77932.01496,0.0,-38.50393045524034,89.10839969925223,-0.05068589223823173,-0.03102490092647871,0.05942730138146489,False,238.52914506521213
2020-08-20 11:00:00,62205.37248,77910.00769,7.275957614183426e-12,-38.6047745522512,89.10740024505421,-0.044402644850972506,-0.027924821748927995,0.052453699006561945,False,237.8342141551882
2020-08-20 12:00:00,62373.93714,77889.66148,2.9999541770795335e-11,-38.6876999999803,89.10660000000175,-0.03662915429616599,-0.024831781434716867,0.04425282266334979,False,235.8657140497843
2020-08-20 13:00:00,62522.98716,77884.71292,1.626953582672133e-11,-38.75621720588571,89.10579978553363,-0.030497627319893097,-0.02326904494150611,0.038360835817705025,False,232.6571339718732
2020-08-20 14:00:00,62650.05113,77882.84902,1.4551915228366852e-11,-38.81368472081251,89.10510017375088,-0.026985355719140625,-0.020163805143971453,0.033686621397412436,False,233.23244119286005
2020-08-20 15:00:00,62765.37619,77876.05313,2.0579515874459978e-11,-38.867600001834084,89.10449999992579,-0.0254175512555444,-0.020172992822673052,0.03244998538138107,False,231.56223782869776
2020-08-20 16:00:00,62883.68445,77881.09625,1.4551915228366852e-11,-38.918514118352455,89.10379978485929,-0.024602388516196533,-0.023265549690501788,0.033860940966002215,False,226.59972042281237
2020-08-20 17:00:00,63008.42949,77895.10401,0.0,-38.968986458679424,89.1030002156127,-0.023527910508593947,-0.023266297382066065,0.0330890188245457,False,225.32032109366793
2020-08-20 18:00:00,63120.743,77904.80252,7.275957614183426e-12,-39.01539999952617,89.10229999992806,-0.021927857460636007,-0.020172928493410448,0.029795603313479344,False,227.386935171112
